area,population
"Dubuque County, Iowa","99,266"
"Emmet County, Iowa","9,388"
"Fayette County, Iowa","19,509"
"Floyd County, Iowa","15,627"
"Franklin County, Iowa","10,019"
"Fremont County, Iowa","6,605"
"Greene County, Iowa","8,771"
"Grundy County, Iowa","12,329"
"Guthrie County, Iowa","10,623"
"Hamilton County, Iowa","15,039"
"Hancock County, Iowa","10,795"
"Hardin County, Iowa","16,878"
"Harrison County, Iowa","14,582"
"Henry County, Iowa","20,482"
"Howard County, Iowa","9,469"
"Humboldt County, Iowa","9,597"
"Ida County, Iowa","7,005"
"Iowa County, Iowa","16,662"
"Jackson County, Iowa","19,485"
"Jasper County, Iowa","37,813"
"Jefferson County, Iowa","15,663"
"Johnson County, Iowa","152,854"
"Jones County, Iowa","20,646"
"Keokuk County, Iowa","10,033"
"Kossuth County, Iowa","14,828"
"Lee County, Iowa","33,555"
"Linn County, Iowa","230,299"
"Louisa County, Iowa","10,837"
"Lucas County, Iowa","8,634"
"Lyon County, Iowa","11,934"
"Madison County, Iowa","16,548"
"Mahaska County, Iowa","22,190"
"Marion County, Iowa","33,414"
"Marshall County, Iowa","40,105"
"Mills County, Iowa","14,484"
"Mitchell County, Iowa","10,565"
"Monona County, Iowa","8,751"
"Monroe County, Iowa","7,577"
"Montgomery County, Iowa","10,330"
"Muscatine County, Iowa","43,235"
"O'Brien County, Iowa","14,182"
"Osceola County, Iowa","6,192"
"Page County, Iowa","15,211"
"Palo Alto County, Iowa","8,996"
"Plymouth County, Iowa","25,698"
"Pocahontas County, Iowa","7,078"
"Polk County, Iowa","492,401"
"Pottawattamie County, Iowa","93,667"
"Poweshiek County, Iowa","18,662"
"Ringgold County, Iowa","4,663"
"Sac County, Iowa","9,814"
"Scott County, Iowa","174,669"
"Shelby County, Iowa","11,746"
"Sioux County, Iowa","35,872"
"Story County, Iowa","98,537"
"Tama County, Iowa","17,135"
"Taylor County, Iowa","5,896"
"Union County, Iowa","12,138"
"Van Buren County, Iowa","7,203"
"Wapello County, Iowa","35,437"
"Warren County, Iowa","52,403"
"Washington County, Iowa","22,565"
"Wayne County, Iowa","6,497"
"Webster County, Iowa","36,999"
"Winnebago County, Iowa","10,679"
"Winneshiek County, Iowa","20,070"
"Woodbury County, Iowa","105,941"
"Worth County, Iowa","7,443"
"Wright County, Iowa","12,943"
"Allen County, Kansas","12,526"
"Anderson County, Kansas","7,836"
"Atchison County, Kansas","16,348"
"Barber County, Kansas","4,228"
"Barton County, Kansas","25,493"
"Bourbon County, Kansas","14,360"
"Brown County, Kansas","9,508"
"Butler County, Kansas","67,380"
"Chase County, Kansas","2,572"
"Chautauqua County, Kansas","3,379"
"Cherokee County, Kansas","19,362"
"Cheyenne County, Kansas","2,616"
"Clark County, Kansas","1,991"
"Clay County, Kansas","8,117"
"Cloud County, Kansas","9,032"
"Coffey County, Kansas","8,360"
"Comanche County, Kansas","1,689"
"Cowley County, Kansas","34,549"
"Crawford County, Kansas","38,972"
"Decatur County, Kansas","2,764"
"Dickinson County, Kansas","18,402"
"Doniphan County, Kansas","7,510"
"Douglas County, Kansas","118,785"
"Edwards County, Kansas","2,907"
"Elk County, Kansas","2,483"
"Ellis County, Kansas","28,934"
"Ellsworth County, Kansas","6,376"
"Finney County, Kansas","38,470"
"Ford County, Kansas","34,287"
"Franklin County, Kansas","25,996"
"Geary County, Kansas","36,739"
"Gove County, Kansas","2,718"
"Graham County, Kansas","2,415"
"Grant County, Kansas","7,352"
"Gray County, Kansas","5,653"
"Greeley County, Kansas","1,284"
"Greenwood County, Kansas","6,016"
"Hamilton County, Kansas","2,518"
"Harper County, Kansas","5,485"
"Harvey County, Kansas","34,024"
"Haskell County, Kansas","3,780"
"Hodgeman County, Kansas","1,723"
"Jackson County, Kansas","13,232"
"Jefferson County, Kansas","18,368"
"Jewell County, Kansas","2,932"
"Johnson County, Kansas","609,863"
"Kearny County, Kansas","3,983"
"Kingman County, Kansas","7,470"
"Kiowa County, Kansas","2,460"
"Labette County, Kansas","20,184"
"Lane County, Kansas","1,574"
"Leavenworth County, Kansas","81,881"
"Lincoln County, Kansas","2,939"
"Linn County, Kansas","9,591"
"Logan County, Kansas","2,762"
"Lyon County, Kansas","32,179"
"McPherson County, Kansas","30,223"
"Marion County, Kansas","11,823"
"Marshall County, Kansas","10,038"
"Meade County, Kansas","4,055"
"Miami County, Kansas","34,191"
"Mitchell County, Kansas","5,796"
"Montgomery County, Kansas","31,486"
"Morris County, Kansas","5,386"
"Morton County, Kansas","2,701"
"Nemaha County, Kansas","10,273"
"Neosho County, Kansas","15,904"
"Ness County, Kansas","2,687"
"Norton County, Kansas","5,459"
"Osage County, Kansas","15,766"
"Osborne County, Kansas","3,500"
"Ottawa County, Kansas","5,735"
"Pawnee County, Kansas","6,253"
"Phillips County, Kansas","4,981"
"Pottawatomie County, Kansas","25,348"
"Pratt County, Kansas","9,157"
"Rawlins County, Kansas","2,561"
"Reno County, Kansas","61,898"
"Republic County, Kansas","4,674"
"Rice County, Kansas","9,427"
"Riley County, Kansas","71,959"
"Rooks County, Kansas","4,919"
"Rush County, Kansas","2,956"
"Russell County, Kansas","6,691"
"Saline County, Kansas","54,303"
"Scott County, Kansas","5,151"
"Sedgwick County, Kansas","523,824"
"Seward County, Kansas","21,964"
"Shawnee County, Kansas","178,909"
"Sheridan County, Kansas","2,447"
"Sherman County, Kansas","5,927"
"Smith County, Kansas","3,570"
"Stafford County, Kansas","4,072"
"Stanton County, Kansas","2,084"
"Stevens County, Kansas","5,250"
"Sumner County, Kansas","22,382"
"Thomas County, Kansas","7,930"
"Trego County, Kansas","2,808"
"Wabaunsee County, Kansas","6,877"
"Wallace County, Kansas","1,512"
"Washington County, Kansas","5,530"
"Wichita County, Kansas","2,152"
"Wilson County, Kansas","8,624"
"Woodson County, Kansas","3,115"
"Wyandotte County, Kansas","169,245"
"Adair County, Kentucky","18,903"
"Allen County, Kentucky","20,588"
"Anderson County, Kentucky","23,852"
"Ballard County, Kentucky","7,728"
"Barren County, Kentucky","44,485"
"Bath County, Kentucky","12,750"
"Bell County, Kentucky","24,097"
"Boone County, Kentucky","135,968"
"Bourbon County, Kentucky","20,252"
"Boyd County, Kentucky","48,261"
"Boyle County, Kentucky","30,614"
"Bracken County, Kentucky","8,400"
"Breathitt County, Kentucky","13,718"
"Breckinridge County, Kentucky","20,432"
"Bullitt County, Kentucky","82,217"
"Butler County, Kentucky","12,371"
"Caldwell County, Kentucky","12,649"
"Calloway County, Kentucky","37,103"
"Campbell County, Kentucky","93,076"
"Carlisle County, Kentucky","4,826"
"Carroll County, Kentucky","10,810"
"Carter County, Kentucky","26,627"
"Casey County, Kentucky","15,941"
"Christian County, Kentucky","72,748"
"Clark County, Kentucky","36,972"
"Clay County, Kentucky","20,345"
"Clinton County, Kentucky","9,253"
"Crittenden County, Kentucky","8,990"
"Cumberland County, Kentucky","5,888"
"Daviess County, Kentucky","103,312"
"Edmonson County, Kentucky","12,126"
"Elliott County, Kentucky","7,354"
"Estill County, Kentucky","14,163"
"Fayette County, Kentucky","322,570"
"Fleming County, Kentucky","15,082"
"Floyd County, Kentucky","35,942"
"Franklin County, Kentucky","51,541"
"Fulton County, Kentucky","6,515"
"Gallatin County, Kentucky","8,690"
"Garrard County, Kentucky","16,953"
"Grant County, Kentucky","24,941"
"Graves County, Kentucky","36,649"
"Grayson County, Kentucky","26,420"
"Green County, Kentucky","11,107"
"Greenup County, Kentucky","35,962"
"Hancock County, Kentucky","9,095"
"Hardin County, Kentucky","110,702"
"Harlan County, Kentucky","26,831"
"Harrison County, Kentucky","18,692"
"Hart County, Kentucky","19,288"
"Henderson County, Kentucky","44,793"
"Henry County, Kentucky","15,678"
"Hickman County, Kentucky","4,521"
"Hopkins County, Kentucky","45,423"
"Jackson County, Kentucky","12,955"
"Jefferson County, Kentucky","782,969"
"Jessamine County, Kentucky","52,991"
"Johnson County, Kentucky","22,680"
"Kenton County, Kentucky","169,064"
"Knott County, Kentucky","14,251"
"Knox County, Kentucky","30,193"
"Larue County, Kentucky","14,867"
"Laurel County, Kentucky","62,613"
"Lawrence County, Kentucky","16,293"
"Lee County, Kentucky","7,395"
"Leslie County, Kentucky","10,513"
"Letcher County, Kentucky","21,548"
"Lewis County, Kentucky","13,080"
"Lincoln County, Kentucky","24,275"
"Livingston County, Kentucky","8,888"
"Logan County, Kentucky","27,432"
"Lyon County, Kentucky","8,680"
"McCracken County, Kentucky","67,875"
"McCreary County, Kentucky","16,888"
"McLean County, Kentucky","9,152"
"Madison County, Kentucky","92,701"
"Magoffin County, Kentucky","11,637"
"Marion County, Kentucky","19,581"
"Marshall County, Kentucky","31,659"
"Martin County, Kentucky","11,287"
"Mason County, Kentucky","17,120"
"Meade County, Kentucky","30,003"
"Menifee County, Kentucky","6,113"
"Mercer County, Kentucky","22,641"
"Metcalfe County, Kentucky","10,286"
"Monroe County, Kentucky","11,338"
"Montgomery County, Kentucky","28,114"
"Morgan County, Kentucky","13,726"
"Muhlenberg County, Kentucky","30,928"
"Nelson County, Kentucky","46,738"
"Nicholas County, Kentucky","7,537"
"Ohio County, Kentucky","23,772"
"Oldham County, Kentucky","67,607"
"Owen County, Kentucky","11,278"
"Owsley County, Kentucky","4,051"
"Pendleton County, Kentucky","14,644"
"Perry County, Kentucky","28,473"
"Pike County, Kentucky","58,669"
"Powell County, Kentucky","13,129"
"Pulaski County, Kentucky","65,034"
"Robertson County, Kentucky","2,193"
"Rockcastle County, Kentucky","16,037"
"Rowan County, Kentucky","24,662"
"Russell County, Kentucky","17,991"
"Scott County, Kentucky","57,155"
"Shelby County, Kentucky","48,065"
"Simpson County, Kentucky","19,594"
"Spencer County, Kentucky","19,490"
"Taylor County, Kentucky","26,023"
"Todd County, Kentucky","12,243"
"Trigg County, Kentucky","14,061"
"Trimble County, Kentucky","8,474"
"Union County, Kentucky","13,668"
"Warren County, Kentucky","134,554"
"Washington County, Kentucky","12,027"
"Wayne County, Kentucky","19,555"
"Webster County, Kentucky","13,017"
"Whitley County, Kentucky","36,712"
"Wolfe County, Kentucky","6,562"
"Woodford County, Kentucky","26,871"
"Acadia Parish, Louisiana","57,576"
"Allen Parish, Louisiana","22,750"
"Ascension Parish, Louisiana","126,500"
"Assumption Parish, Louisiana","21,039"
"Avoyelles Parish, Louisiana","39,693"
"Beauregard Parish, Louisiana","36,549"
"Bienville Parish, Louisiana","12,981"
"Bossier Parish, Louisiana","128,746"
"Caddo Parish, Louisiana","237,848"
"Calcasieu Parish, Louisiana","216,785"
"Caldwell Parish, Louisiana","9,645"
"Cameron Parish, Louisiana","5,617"
"Catahoula Parish, Louisiana","8,906"
"Claiborne Parish, Louisiana","14,170"
"Concordia Parish, Louisiana","18,687"
"De Soto Parish, Louisiana","26,812"
"East Baton Rouge Parish, Louisiana","456,781"
"East Carroll Parish, Louisiana","7,459"
"East Feliciana Parish, Louisiana","19,539"
"Evangeline Parish, Louisiana","32,350"
"Franklin Parish, Louisiana","19,774"
"Grant Parish, Louisiana","22,169"
"Iberia Parish, Louisiana","69,929"
"Iberville Parish, Louisiana","30,241"
"Jackson Parish, Louisiana","15,031"
"Jefferson Parish, Louisiana","440,781"
"Jefferson Davis Parish, Louisiana","32,250"
"Lafayette Parish, Louisiana","241,753"
"Lafourche Parish, Louisiana","97,557"
"LaSalle Parish, Louisiana","14,791"
"Lincoln Parish, Louisiana","48,396"
"Livingston Parish, Louisiana","142,282"
"Madison Parish, Louisiana","10,017"
"Morehouse Parish, Louisiana","25,629"
"Natchitoches Parish, Louisiana","37,515"
"Orleans Parish, Louisiana","383,997"
"Ouachita Parish, Louisiana","160,368"
"Plaquemines Parish, Louisiana","23,515"
"Pointe Coupee Parish, Louisiana","20,758"
"Rapides Parish, Louisiana","130,023"
"Red River Parish, Louisiana","7,620"
"Richland Parish, Louisiana","20,043"
"Sabine Parish, Louisiana","22,155"
"St Bernard Parish, Louisiana","43,764"
"St Charles Parish, Louisiana","52,549"
"St Helena Parish, Louisiana","10,920"
"St James Parish, Louisiana","20,192"
"St John the Baptist Parish, Louisiana","42,477"
"St Landry Parish, Louisiana","82,540"
"St Martin Parish, Louisiana","51,767"
"St Mary Parish, Louisiana","49,406"
"St Tammany Parish, Louisiana","264,570"
"Tangipahoa Parish, Louisiana","133,157"
"Tensas Parish, Louisiana","4,147"
"Terrebonne Parish, Louisiana","109,580"
"Union Parish, Louisiana","21,107"
"Vermilion Parish, Louisiana","57,359"
"Vernon Parish, Louisiana","48,750"
"Washington Parish, Louisiana","45,463"
"Webster Parish, Louisiana","36,967"
"West Baton Rouge Parish, Louisiana","27,199"
"West Carroll Parish, Louisiana","9,751"
"West Feliciana Parish, Louisiana","15,310"
"Winn Parish, Louisiana","13,755"
"Androscoggin County, Maine","111,139"
"Aroostook County, Maine","67,105"
"Cumberland County, Maine","303,069"
"Franklin County, Maine","29,456"
"Hancock County, Maine","55,478"
"Kennebec County, Maine","123,642"
"Knox County, Maine","40,607"
"Lincoln County, Maine","35,237"
"Oxford County, Maine","57,777"
"Penobscot County, Maine","152,199"
"Piscataquis County, Maine","16,800"
"Sagadahoc County, Maine","36,699"
"Somerset County, Maine","50,477"
"Waldo County, Maine","39,607"
"Washington County, Maine","31,095"
"York County, Maine","211,972"
"Allegany County, Maryland","68,106"
"Anne Arundel County, Maryland","588,261"
"Baltimore County, Maryland","854,535"
"Calvert County, Maryland","92,783"
"Caroline County, Maryland","33,293"
"Carroll County, Maryland","172,891"
"Cecil County, Maryland","103,725"
"Charles County, Maryland","166,617"
"Dorchester County, Maryland","32,531"
"Frederick County, Maryland","271,717"
"Garrett County, Maryland","28,806"
"Harford County, Maryland","260,924"
"Howard County, Maryland","332,317"
"Kent County, Maryland","19,198"
"Montgomery County, Maryland","1,062,061"
"Prince George's County, Maryland","967,201"
"Queen Anne's County, Maryland","49,874"
"St Mary's County, Maryland","113,777"
"Somerset County, Maryland","24,620"
"Talbot County, Maryland","37,526"
"Washington County, Maryland","154,705"
"Wicomico County, Maryland","103,588"
"Worcester County, Maryland","52,460"
"Baltimore city, Maryland","585,708"
"Barnstable County, Massachusetts","228,996"
"Berkshire County, Massachusetts","129,026"
"Bristol County, Massachusetts","579,200"
"Dukes County, Massachusetts","20,600"
"Essex County, Massachusetts","809,829"
"Franklin County, Massachusetts","71,029"
"Hampden County, Massachusetts","465,825"
"Hampshire County, Massachusetts","162,308"
"Middlesex County, Massachusetts","1,632,002"
"Nantucket County, Massachusetts","14,255"
"Norfolk County, Massachusetts","725,981"
"Plymouth County, Massachusetts","530,819"
"Suffolk County, Massachusetts","797,936"
"Worcester County, Massachusetts","862,111"
"Alcona County, Michigan","10,167"
"Alger County, Michigan","8,842"
"Allegan County, Michigan","120,502"
"Alpena County, Michigan","28,907"
"Antrim County, Michigan","23,431"
"Arenac County, Michigan","15,002"
"Baraga County, Michigan","8,158"
"Barry County, Michigan","62,423"
"Bay County, Michigan","103,856"
"Benzie County, Michigan","17,970"
"Berrien County, Michigan","154,316"
"Branch County, Michigan","44,862"
"Calhoun County, Michigan","134,310"
"Cass County, Michigan","51,589"
"Charlevoix County, Michigan","26,054"
"Cheboygan County, Michigan","25,579"
"Chippewa County, Michigan","36,785"
"Clare County, Michigan","30,856"
"Clinton County, Michigan","79,128"
"Crawford County, Michigan","12,988"
"Delta County, Michigan","36,903"
"Dickinson County, Michigan","25,947"
"Eaton County, Michigan","109,175"
"Emmet County, Michigan","34,112"
"Genesee County, Michigan","406,211"
"Gladwin County, Michigan","25,386"
"Gogebic County, Michigan","14,380"
"Grand Traverse County, Michigan","95,238"
"Gratiot County, Michigan","41,761"
"Hillsdale County, Michigan","45,746"
"Houghton County, Michigan","37,361"
"Huron County, Michigan","31,407"
"Ingham County, Michigan","284,900"
"Ionia County, Michigan","66,804"
"Iosco County, Michigan","25,237"
"Iron County, Michigan","11,631"
"Isabella County, Michigan","64,394"
"Jackson County, Michigan","160,366"
"Kalamazoo County, Michigan","261,670"
"Kalkaska County, Michigan","17,939"
"Kent County, Michigan","657,974"
"Keweenaw County, Michigan","2,046"
"Lake County, Michigan","12,096"
"Lapeer County, Michigan","88,619"
"Leelanau County, Michigan","22,301"
"Lenawee County, Michigan","99,423"
"Livingston County, Michigan","193,866"
"Luce County, Michigan","5,339"
"Mackinac County, Michigan","10,834"
"Macomb County, Michigan","881,217"
"Manistee County, Michigan","25,032"
"Marquette County, Michigan","66,017"
"Mason County, Michigan","29,052"
"Mecosta County, Michigan","39,714"
"Menominee County, Michigan","23,502"
"Midland County, Michigan","83,494"
"Missaukee County, Michigan","15,052"
"Monroe County, Michigan","154,809"
"Montcalm County, Michigan","66,614"
"Montmorency County, Michigan","9,153"
"Muskegon County, Michigan","175,824"
"Newaygo County, Michigan","49,978"
"Oakland County, Michigan","1,274,395"
"Oceana County, Michigan","26,659"
"Ogemaw County, Michigan","20,770"
"Ontonagon County, Michigan","5,816"
"Osceola County, Michigan","22,891"
"Oscoda County, Michigan","8,219"
"Otsego County, Michigan","25,091"
"Ottawa County, Michigan","296,200"
"Presque Isle County, Michigan","12,982"
"Roscommon County, Michigan","23,459"
"Saginaw County, Michigan","190,124"
"St Clair County, Michigan","160,383"
"St Joseph County, Michigan","60,939"
"Sanilac County, Michigan","40,611"
"Schoolcraft County, Michigan","8,047"
"Shiawassee County, Michigan","68,094"
"Tuscola County, Michigan","53,323"
"Van Buren County, Michigan","75,587"
"Washtenaw County, Michigan","372,258"
"Wayne County, Michigan","1,793,561"
"Wexford County, Michigan","33,673"
"Aitkin County, Minnesota","15,697"
"Anoka County, Minnesota","363,887"
"Becker County, Minnesota","35,183"
"Beltrami County, Minnesota","46,228"
"Benton County, Minnesota","41,379"
"Big Stone County, Minnesota","5,166"
"Blue Earth County, Minnesota","69,112"
"Brown County, Minnesota","25,912"
"Carlton County, Minnesota","36,207"
"Carver County, Minnesota","106,922"
"Cass County, Minnesota","30,066"
"Chippewa County, Minnesota","12,598"
"Chisago County, Minnesota","56,621"
"Clay County, Minnesota","65,318"
"Clearwater County, Minnesota","8,524"
"Cook County, Minnesota","5,600"
"Cottonwood County, Minnesota","11,517"
"Crow Wing County, Minnesota","66,123"
"Dakota County, Minnesota","439,882"
"Dodge County, Minnesota","20,867"
"Douglas County, Minnesota","39,006"
"Faribault County, Minnesota","13,921"
"Fillmore County, Minnesota","21,228"
"Freeborn County, Minnesota","30,895"
"Goodhue County, Minnesota","47,582"
"Grant County, Minnesota","6,074"
"Hennepin County, Minnesota","1,281,565"
"Houston County, Minnesota","18,843"
"Hubbard County, Minnesota","21,344"
"Isanti County, Minnesota","41,135"
"Itasca County, Minnesota","45,014"
"Jackson County, Minnesota","9,989"
"Kanabec County, Minnesota","16,032"
"Kandiyohi County, Minnesota","43,732"
"Kittson County, Minnesota","4,207"
"Koochiching County, Minnesota","12,062"
"Lac qui Parle County, Minnesota","6,719"
"Lake County, Minnesota","10,905"
"Lake of the Woods County, Minnesota","3,763"
"Le Sueur County, Minnesota","28,674"
"Lincoln County, Minnesota","5,640"
"Lyon County, Minnesota","25,269"
"McLeod County, Minnesota","36,771"
"Mahnomen County, Minnesota","5,411"
"Marshall County, Minnesota","9,040"
"Martin County, Minnesota","20,025"
"Meeker County, Minnesota","23,400"
"Mille Lacs County, Minnesota","26,459"
"Morrison County, Minnesota","34,010"
"Mower County, Minnesota","40,029"
"Murray County, Minnesota","8,179"
"Nicollet County, Minnesota","34,454"
"Nobles County, Minnesota","22,290"
"Norman County, Minnesota","6,441"
"Olmsted County, Minnesota","162,847"
"Otter Tail County, Minnesota","60,081"
"Pennington County, Minnesota","13,992"
"Pine County, Minnesota","28,876"
"Pipestone County, Minnesota","9,424"
"Polk County, Minnesota","31,192"
"Pope County, Minnesota","11,308"
"Ramsey County, Minnesota","552,352"
"Red Lake County, Minnesota","3,935"
"Redwood County, Minnesota","15,425"
"Renville County, Minnesota","14,723"
"Rice County, Minnesota","67,097"
"Rock County, Minnesota","9,704"
"Roseau County, Minnesota","15,331"
"St Louis County, Minnesota","200,231"
"Scott County, Minnesota","150,928"
"Sherburne County, Minnesota","97,183"
"Sibley County, Minnesota","14,836"
"Stearns County, Minnesota","158,292"
"Steele County, Minnesota","37,406"
"Stevens County, Minnesota","9,671"
"Swift County, Minnesota","9,838"
"Todd County, Minnesota","25,262"
"Traverse County, Minnesota","3,360"
"Wabasha County, Minnesota","21,387"
"Wadena County, Minnesota","14,065"
"Waseca County, Minnesota","18,968"
"Washington County, Minnesota","267,568"
"Watonwan County, Minnesota","11,253"
"Wilkin County, Minnesota","6,506"
"Winona County, Minnesota","49,671"
"Wright County, Minnesota","141,337"
"Yellow Medicine County, Minnesota","9,528"
"Adams County, Mississippi","29,538"
"Alcorn County, Mississippi","34,740"
"Amite County, Mississippi","12,720"
"Attala County, Mississippi","17,889"
"Benton County, Mississippi","7,646"
"Bolivar County, Mississippi","30,985"
"Calhoun County, Mississippi","13,266"
"Carroll County, Mississippi","9,998"
"Chickasaw County, Mississippi","17,106"
"Choctaw County, Mississippi","8,246"
"Claiborne County, Mississippi","9,135"
"Clarke County, Mississippi","15,615"
"Clay County, Mississippi","18,636"
"Coahoma County, Mississippi","21,390"
"Copiah County, Mississippi","28,368"
"Covington County, Mississippi","18,340"
"DeSoto County, Mississippi","185,314"
"Forrest County, Mississippi","78,158"
"Franklin County, Mississippi","7,675"
"George County, Mississippi","24,350"
"Greene County, Mississippi","13,530"
"Grenada County, Mississippi","21,629"
"Hancock County, Mississippi","46,053"
"Harrison County, Mississippi","208,621"
"Hinds County, Mississippi","227,742"
"Holmes County, Mississippi","17,000"
"Humphreys County, Mississippi","7,785"
"Issaquena County, Mississippi","1,338"
"Itawamba County, Mississippi","23,863"
"Jackson County, Mississippi","143,252"
"Jasper County, Mississippi","16,367"
"Jefferson County, Mississippi","7,260"
"Jefferson Davis County, Mississippi","11,321"
"Jones County, Mississippi","67,246"
"Kemper County, Mississippi","8,988"
"Lafayette County, Mississippi","55,813"
"Lamar County, Mississippi","64,222"
"Lauderdale County, Mississippi","72,984"
"Lawrence County, Mississippi","12,016"
"Leake County, Mississippi","21,275"
"Lee County, Mississippi","83,343"
"Leflore County, Mississippi","28,339"
"Lincoln County, Mississippi","34,907"
"Lowndes County, Mississippi","58,879"
"Madison County, Mississippi","109,145"
"Marion County, Mississippi","24,441"
"Marshall County, Mississippi","33,752"
"Monroe County, Mississippi","34,180"
"Montgomery County, Mississippi","9,822"
"Neshoba County, Mississippi","29,087"
"Newton County, Mississippi","21,291"
"Noxubee County, Mississippi","10,285"
"Oktibbeha County, Mississippi","51,788"
"Panola County, Mississippi","33,208"
"Pearl River County, Mississippi","56,145"
"Perry County, Mississippi","11,511"
"Pike County, Mississippi","40,324"
"Pontotoc County, Mississippi","31,184"
"Prentiss County, Mississippi","25,008"
"Quitman County, Mississippi","6,176"
"Rankin County, Mississippi","157,031"
"Scott County, Mississippi","27,990"
"Sharkey County, Mississippi","3,800"
"Simpson County, Mississippi","25,949"
"Smith County, Mississippi","14,209"
"Stone County, Mississippi","18,333"
"Sunflower County, Mississippi","25,971"
"Tallahatchie County, Mississippi","12,715"
"Tate County, Mississippi","28,064"
"Tippah County, Mississippi","21,815"
"Tishomingo County, Mississippi","18,850"
"Tunica County, Mississippi","9,782"
"Union County, Mississippi","27,777"
"Walthall County, Mississippi","13,884"
"Warren County, Mississippi","44,722"
"Washington County, Mississippi","44,922"
"Wayne County, Mississippi","19,779"
"Webster County, Mississippi","9,926"
"Wilkinson County, Mississippi","8,587"
"Winston County, Mississippi","17,714"
"Yalobusha County, Mississippi","12,481"
"Yazoo County, Mississippi","26,743"
"Adair County, Missouri","25,314"
"Andrew County, Missouri","18,135"
"Atchison County, Missouri","5,305"
"Audrain County, Missouri","24,962"
"Barry County, Missouri","34,534"
"Barton County, Missouri","11,637"
"Bates County, Missouri","16,042"
"Benton County, Missouri","19,394"
"Bollinger County, Missouri","10,567"
"Boone County, Missouri","183,610"
"Buchanan County, Missouri","84,793"
"Butler County, Missouri","42,130"
"Caldwell County, Missouri","8,815"
"Callaway County, Missouri","44,283"
"Camden County, Missouri","42,745"
"Cape Girardeau County, Missouri","81,710"
"Carroll County, Missouri","8,495"
"Carter County, Missouri","5,202"
"Cass County, Missouri","107,824"
"Cedar County, Missouri","14,188"
"Chariton County, Missouri","7,408"
"Christian County, Missouri","88,842"
"Clark County, Missouri","6,634"
"Clay County, Missouri","253,335"
"Clinton County, Missouri","21,184"
"Cole County, Missouri","77,279"
"Cooper County, Missouri","17,103"
"Crawford County, Missouri","23,056"
"Dade County, Missouri","7,569"
"Dallas County, Missouri","17,071"
"Daviess County, Missouri","8,430"
"DeKalb County, Missouri","11,029"
"Dent County, Missouri","14,421"
"Douglas County, Missouri","11,578"
"Dunklin County, Missouri","28,283"
"Franklin County, Missouri","104,682"
"Gasconade County, Missouri","14,794"
"Gentry County, Missouri","6,162"
"Greene County, Missouri","298,915"
"Grundy County, Missouri","9,808"
"Harrison County, Missouri","8,157"
"Henry County, Missouri","21,946"
"Hickory County, Missouri","8,279"
"Holt County, Missouri","4,223"
"Howard County, Missouri","10,151"
"Howell County, Missouri","39,750"
"Iron County, Missouri","9,537"
"Jackson County, Missouri","717,204"
"Jasper County, Missouri","122,761"
"Jefferson County, Missouri","226,739"
"Johnson County, Missouri","54,013"
"Knox County, Missouri","3,744"
"Laclede County, Missouri","36,039"
"Lafayette County, Missouri","32,984"
"Lawrence County, Missouri","38,001"
"Lewis County, Missouri","10,032"
"Lincoln County, Missouri","59,574"
"Linn County, Missouri","11,874"
"Livingston County, Missouri","14,557"
"McDonald County, Missouri","23,303"
"Macon County, Missouri","15,209"
"Madison County, Missouri","12,626"
"Maries County, Missouri","8,432"
"Marion County, Missouri","28,525"
"Mercer County, Missouri","3,538"
"Miller County, Missouri","24,722"
"Mississippi County, Missouri","12,577"
"Moniteau County, Missouri","15,473"
"Monroe County, Missouri","8,666"
"Montgomery County, Missouri","11,322"
"Morgan County, Missouri","21,006"
"New Madrid County, Missouri","16,434"
"Newton County, Missouri","58,648"
"Nodaway County, Missouri","21,241"
"Oregon County, Missouri","8,635"
"Osage County, Missouri","13,274"
"Ozark County, Missouri","8,553"
"Pemiscot County, Missouri","15,661"
"Perry County, Missouri","18,956"
"Pettis County, Missouri","42,980"
"Phelps County, Missouri","44,638"
"Pike County, Missouri","17,587"
"Platte County, Missouri","106,718"
"Polk County, Missouri","31,519"
"Pulaski County, Missouri","53,955"
"Putnam County, Missouri","4,681"
"Ralls County, Missouri","10,355"
"Randolph County, Missouri","24,716"
"Ray County, Missouri","23,158"
"Reynolds County, Missouri","6,096"
"Ripley County, Missouri","10,679"
"St Charles County, Missouri","405,262"
"St Clair County, Missouri","9,284"
"Ste Genevieve County, Missouri","18,479"
"St Francois County, Missouri","66,922"
"St Louis County, Missouri","1,004,125"
"Saline County, Missouri","23,333"
"Schuyler County, Missouri","4,032"
"Scotland County, Missouri","4,716"
"Scott County, Missouri","38,059"
"Shannon County, Missouri","7,031"
"Shelby County, Missouri","6,103"
"Stoddard County, Missouri","28,672"
"Stone County, Missouri","31,076"
"Sullivan County, Missouri","5,999"
"Taney County, Missouri","56,066"
"Texas County, Missouri","24,487"
"Vernon County, Missouri","19,707"
"Warren County, Missouri","35,532"
"Washington County, Missouri","23,514"
"Wayne County, Missouri","10,974"
"Webster County, Missouri","39,085"
"Worth County, Missouri","1,973"
"Wright County, Missouri","18,188"
"St Louis city, Missouri","301,578"
"Beaverhead County, Montana","9,371"
"Big Horn County, Montana","13,124"
"Blaine County, Montana","7,044"
"Broadwater County, Montana","6,774"
"Carbon County, Montana","10,473"
"Carter County, Montana","1,415"
"Cascade County, Montana","84,414"
"Chouteau County, Montana","5,895"
